Word,Line Numbers
мөгелиг,-1A
тоол,"-1A, 899B, 903B, 906B, 913B, 916B, 917B, 918B, 922B, 925B, 931B, 933B, 994B"
хайындырынмай,"0A, 1006A, 1552A, 2953A"
багай,"0A, 8A, 112A, 136A, 165A, 186A, 202A, 219A, 291A, 308A, 322A, 372A, 381A, 383A, 390A, 424A, 429A, 460A, 479A, 492A, 516A, 555A, 567A, 575A, 586A, 602A, 627A, 688A, 715A, 805A, 815A, 824A, 843A, 845A, 850A, 867A, 872A, 897A, 918A, 940A, 959A, 968A, 971A, 980A, 987A, 999A, 1002A, 1006A, 1012A, 1026A, 1032A, 1081A, 1100A, 1103A, 1112A, 1115A, 1123A, 1135A, 1148A, 1159A, 1177A, 1181A, 1190A, 1194A, 1200A, 1215A, 1233A, 1268A, 1289A, 1298A, 1304A, 1310A, 1318A, 1325A, 1347A, 1358A, 1366A, 1370A, 1409A, 1443A, 1466A, 1517A, 1529A, 1533A, 1639A, 1703A, 1708A, 1747A, 1759A, 1795A, 1805A, 1837A, 1848A, 1855A, 1864A, 1941A, 1943A, 1994A, 2016A, 2056A, 2160A, 2172A, 2188A, 2331A, 2359A, 2389A, 2403A, 2411A, 2412A, 2421A, 2428A, 2452A, 2455A, 2457A, 2468A, 2492A, 2497A, 2503A, 2509A, 2514A, 2531A, 2532A, 2554A, 2562A, 2570A, 2583A, 2610A, 2624A, 2633A, 2664A, 2665A, 2686A, 2690A, 2705A, 2724A, 2731A, 2738A, 2800A, 2846A, 2867A, 2871A, 2880A, 2890A, 2899A, 2930A, 2936A, 2953A, 2959A, 2977A, 2991A, 3004A, 3008A, 3042A, 3045A, 3095A, 3107A, 3119A, 3131A, 3133A, 3152A, 3243A, 3249A, 3257A, 3288A, 3325A, 3329A, 3345A, 3376A, 3389A, 3393A, 3403A, 3413A, 3431A, 3445A, 3453A, 3B, 370B, 493B, 653B, 686B, 886B, 942B, 969B, 985B, 991B, 1532B, 679C, 720C, 725C, 767C, 811C, 812C, 818C, 823C, 824C, 838C, 839C, 841C, 843C, 847C, 853C, 854C, 859C, 862C, 867C, 869C, 890C, 1005C, 1358C, 1789C"
ооа,0A
эртенгиниӊ,"1A, 1B, 885B, 549C, 1407C"
эртезинде,"1A, 1645A, 3304A, 885B, 1496B, 549C, 721C, 1261C, 1407C"
эки,"2A, 494A, 519A, 663A, 765A, 843A, 886A, 916A, 966A, 973A, 1113A, 1441A, 1464A, 1757A, 2501A, 2528A, 2580A, 2661A, 2803A, 2810A, 2815A, 2824A, 2984A, 3002A, 3022A, 3086A, 3292A, 3293A, 3307A, 51B, 289B, 653B, 686B, 714B, 758B, 803B, 834B, 885B, 1142B, 1368B, 247C, 248C, 273C, 1070C, 1531C, 1531C"
шагны,"2A, 885B"
эктинде,"2A, 1B"
бурунгунун,"3A, 1C, 549C"
мурнунда,"3A, 2367A, 1B, 885B, 1496B, 1C, 549C, 721C, 809C, 925C"
бурган,"4A, 120A, 361A, 574A, 2635A, 2647A, 3041A, 1497B, 1610B, 1612B, 1356C"
башкы,"4A, 227A, 1948A, 844B, 1083B, 1497B, 750C, 756C, 787C, 1356C, 1356C, 1357C, 1663C, 1667C, 1671C, 1675C, 1693C"
номнап,4A
